index,account_url,account,headcount
"171538","https://www.access-company.com","ACCESS Europe GmbH",
"117971","www.soteraheritage.com","Sotera",
"39085","www.pyctor.com","Pyctor",
"39693","www.vivere.io","vivere",
"63346","http://aaius.com","aaius.com","43"
"72928","www.flintloc.com","Flintlock Solutions",
"82062","www.schreinerconsulting.com","Schreiner",
"83999","https://www.goplayallday.com","Play All Day Ltd",
"97979","www.bitsandpieces.com","Bits and Pieces",
"112451","www.chooseportal.com","Portal",
"115834","www.magnificentfox.com","Magnificent Fox",
"145272","www.simplygoodjars.com","Simply Good Jars",
"237209","https://www.accenture.com/Song","Accenture Song",
"14628","http://www.kepler.org","Kepler InteractiveLimited",
"15825","gds.ey.com","Ernst & Young",
"144646","www.actmed.net","EPIX Therapeutics, Inc.",
"115036","www.zerobroker.com","Zerobroker",
"138344","www.247.ai","[24]7.ai India",
"139429","https://www.ey.com/no/skye","EY Skye",
"145065","www.medhok.com","MEDHOK HEALTHCARE SOLUTIONS, LLC",
"166316","www.dmainc.com","DuCharme, McMillen & Associates","686"
"255634","accountingsuite.com","accountingsuite.com",
"6311","https://1password.com/","AgileBits - 1 Password",
"24425","lyanne.searchforhomesinseattle.com","Lyanne",
"26437","www.juniver.de","Juniver Limited",
"35449","1kubator.com","1Kubator",
"38313","www.tweetybeauty.com","Beauty Companies",
"43136","join.buyzooka.io","Buyzooka",
"48286","www.screeninsider.co","Screen Insider",
"55836","www.coupons.de","coupons4u",
"71859","www.choicecybersecurity.com","Choice Cyber Solutions",
"76445","www.getduplicated.com","Wiserentr ( duplicated)",
"99520","by.ey.com","by.ey.com",
"99896","tn.ey.com","HISTORIAR",
"116926","http://www.headchef.com","HeadChef",
"120590","www.ipcb.pt","IPCB",
"144503","www.layyer.com","Layyer Design Studio",
"144701","badili.africa","BADILI MENTORS",
"4998","ch.ey.com","Ernst & Young Switzerland",
"7622","www.4psquare.com","4P Square",
"19195","www.ey.com","Ernst & Young",
"19870","https://www.3mediaweb.com","Deep 3 Media, LLC",
"29442","www.yoyowallet.com","YOYO WALLET LIMITED",
"36065","www.coinfirm.com","Coinfirm",
"44927","https://accor.com/","Accor","76327"
"46285","www.silab.fr","SILAB",
"70912","http://www.10pearls.com","10Pearls LATAM",
"100794","www.beaconsystems.com","SON Systems",
"104196","www.aaa.com","AAA AAA",
"118145","www.garage.com","Garage Technology Ventures",
"124091","www.accelerationpartners.com","Acceleration Partners Ltd",
"124515","www.aaa.com","AAA",
"20560","aakaarsolution.com","Aakaarsolution",
"63393","http://","RLS Performance Group",
"103277","3dinews.com","ggfg",
"101513","aakaarsolution.com","Aakaar Solution",
"16667","87708b.com","87708B",
"234904","vip.163.com","vip.163.com",
"103202","0xmad.me","<img src/onerror=prompt(8)>",
"22346","www.syncorellc.com","Syncore",
"24097","www.moominlights.com","Snowlight Ventures OÜ",
"95145","www.tcgsupplies.com","The Coghlan Group Inc.",
"95783","https://www.joshua.com","Fissa Lab B.v.",
"267015","https://www.metabaseq.com/","Metabase Q","99"
"253953","https://www.pivot88.com/","Pivot88","58"
"270787","https://www.localsoft.com/","Localsoft, S.L.","116"
"226338","https://www.intrafind.com/de","IntraFind","65"
"55196","ee.ey.com","ee.ey.com",
"229722","https://coalesce.io/","Coalesce Automation","76"
"258421","https://www.interwell.com/","InterWell Topco L.P.","555"
"271452","https://www.jumpstart-uk.com/","Jumpstart UK","64"
"276567","http://www.razorblue.com","RazorBlue Group","131"
"249234","https://acquire.com","Acquire.com","50"
"277680","https://www.retoflow.de/","retoflow GmbH","11"
"276590","https://www.itminds.net/","IT Minds LLC","104"
"274094","https://www.itechag.com/","iTech AG","131"
"47939","texau.com","texau.com","11"
"101918","3dinews.com","dodi-test",
"18141","www.andregoncalves.com","ANDRE GONCALVES",
"77131","tidepool.org","Tidepool","71"
"15176","https://www.krisp.ai","Krisp LLC","243"
"20654","https://www.holafly.com","Holafly","269"
"20127","www.daloopa.com","Daloopa","193"
"17880","evisions.com","Evisions","140"
"21976","https://www.syndica.io","Syndica","17"
"226691","www.acceldata.io","Acceldata",
"23548","embedl.com","EmbeDL","24"
"24601","www.fraxion.biz","Fraxion","62"
"26809","https://www.dennemeyer.com","Dennemeyer","702"
"26946","finbourne.com","FINBOURNE Technology","223"
"123136","www.heetherconsulting.com","Heether consulting, Inc.",
"31344","www.encore.com","Encore","361"
"33016","www.min.io","MinIO","91"
"33497","https://superhuman.com/","Superhuman","147"
"36807","https://pspdfkit.com","PSPDFKit","96"
"37758","https://www.gocertify.me","gocertify • verify shoppers for group offers","11"
"38072","http://www.messagebird.com","MessageBird","545"
"255225","accountingsuite.com","accountingsuite.com",
"38018","http://www.evolutioniq.com","EvolutionIQ","155"
"41405","http://www.holo-light.com","HOLO-LIGHT","94"
"39049","https://www.nebula.co.za/","1Nebula","155"
"137243","https://www.comet.com","Comet","109"
"39158","www.doxee.com","Doxee","194"
"39899","http://www.toolsense.io","ToolSense","43"
"145421","http://www.1spatial.com","1SPATIAL FR",
"42684","https://zestmeup.com/","ZestMeUp","63"
"11363","https://www.1build.com","1build",
"136872","https://www.thetradingpit.com/","The Trading Pit","85"
"42776","https://www.bounteous.com/","Bounteous","1564"
"44785","https://www.yassir.com","Yassir GmbH","1103"
"27229","https://www.500.co","500 Southeast Asia",
"103273","3dmasti.com","test""><hr>",
"114320","http://www.ey.com","安永华明会计师事务所(特殊普通合伙)上海分所",
"48810","http://www.greenflux.com","GreenFlux","92"
"49672","http://www.eocharging.com","EO Charging","185"
"50382","http://www.alpenite.com/","Alpenite Srl","264"
"52077","http://www.aspirets.com","Aspire Technology Solutions","233"
"52763","http://www.marbill.com","Marbill Technologies","87"
"52745","trilateralresearch.com","Trilateral Research","129"
"56627","https://www.payspace.com","PaySpace","240"
"255227","accountingsuite.com","accountingsuite.com",
"62021","www.msg-global.com","msg global solutions","1489"
"66326","http://www.acadaca.com","Acadaca","44"
"65594","https://www.brightidea.com/","Brightidea","62"
"63018","http://www.cresta.com","Cresta","242"
"66219","Pushnami.com","Pushnami","60"
"66173","http://www.cordial.com/","Cordial","223"
"66784","https://www.activeprospect.com","ActiveProspect","142"
"99138","zbyte.io","Zbyte",
