id,domain,last_scraped_at,ats,job_metadata
"726981","swordhealth.com","2024-03-14 03:24:58.933+00","linkedin","{""jobCount"": 71, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": 18, ""remote"": 49, ""on-site"": 4}, ""remoteOfficeLocations"": [""united states"", ""portugal"", ""porto, porto, portugal"", ""united kingdom"", ""greater curitiba"", ""namer""]}"
"317789","DEFTEC.com","2024-03-06 08:46:29.915+00","linkedin","{""jobCount"": ""32"", ""officeLocationType"": {""remote"": ""1"", ""on-site"": ""31""}}"
"241375","bridgephase.com","2024-03-05 00:55:14.425+00","linkedin","{""jobCount"": ""3"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""3""}, ""remoteOfficeLocations"": [""colorado springs, co"", ""san antonio, tx""]}"
"154940","ontra.ai","2024-03-13 21:20:07.3+00","linkedin","{""jobCount"": 12, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": null, ""remote"": 12, ""on-site"": null}, ""remoteOfficeLocations"": [""united states"", ""united kingdom""]}"
"176885","dnastack.com","2024-03-05 23:58:17.129+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""remote"": ""1""}}"
"332969","companial.com","2024-03-06 09:47:11.277+00","linkedin","{""jobCount"": ""20"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""18"", ""remote"": ""2""}, ""remoteOfficeLocations"": [""hamburg, hamburg, germany""]}"
"257691","michael-wessel.de","2024-03-05 23:01:31.122+00","linkedin","{""jobCount"": ""14"", ""officeLocationType"": {""hybrid"": ""1"", ""on-site"": ""13""}}"
"143371","datacaptureexperts.com.au","2024-03-06 00:13:35.293+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""hybrid"": ""1""}}"
"245035","enode.com","2024-03-14 00:32:26.966+00","linkedin","{""jobCount"": 6, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": null, ""remote"": 6, ""on-site"": null}, ""remoteOfficeLocations"": [""oslo, oslo, norway""]}"
"297784","netexsolves.com","2024-03-05 23:56:03.007+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""remote"": ""1""}}"
"291624","naztecgroup.com","2024-03-05 23:11:55.629+00","linkedin","{""jobCount"": ""5"", ""officeLocationType"": {""remote"": ""2"", ""on-site"": ""3""}}"
"150142","sixfold.ai","2024-03-05 23:12:19.776+00","linkedin","{""jobCount"": ""5"", ""officeLocationType"": {""hybrid"": ""1"", ""remote"": ""1"", ""on-site"": ""3""}}"
"152045","arcticgroup.se","2024-03-05 20:17:33.223+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""remote"": ""1""}}"
"256926","thebakery.com","2024-03-13 17:46:09.037+00","linkedin","{""jobCount"": 2, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": 1, ""remote"": 1, ""on-site"": null}, ""remoteOfficeLocations"": [""brazil""]}"
"123848","thebakery.com","2024-03-04 21:31:38.008+00","linkedin","{""jobCount"": ""2"", ""officeLocationType"": {""hybrid"": ""1"", ""remote"": ""1""}}"
